X,Y,WDSId,SiteId,SiteSpecificName,LegalName,Address,City,County,Latitude,Longitude,CoordinateSystem,HorizontalCollectionMethod,FacilityType,Commercial,CommercialFacility,PermitWorkLoad,CorrectiveActionWorkLoad,FederallyRegulatedTSD,Permitted,CorrectiveActionAndPermit,Hyperlink,Echo,Updated
-84.65959,42.7033500000001,399179,MID980700843,RYDER INTERGRATED LOGISTICS,RYDER SYSTEMS INC,2901 S CANAL RD,LANSING,EATON,42.70335,-84.65959,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399179,http://echo.epa.gov/detailed-facility-report?fid=MID980700843,2026/04/22 01:20:07.110+00
-83.0506599999999,42.3867700000001,399256,MID980793467,CITY OF HAMTRAMCK UNISOL SITE,UNIVERTICAL SOLDER ALLOYS,2930 DENTON ST,HAMTRAMCK,WAYNE,42.38677,-83.05066,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399256,http://echo.epa.gov/detailed-facility-report?fid=MID980793467,2026/04/22 01:20:07.110+00
-83.7838599999999,42.16024,399273,MID980795512,UNIVERSAL DIE CAST INC,WASHTENAW INDUSTRIAL FACILITY LLC,232 MONROE ST,SALINE,WASHTENAW,42.16024,-83.78386,WGS-84,Lat/Long Interpolation,D,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399273,http://echo.epa.gov/detailed-facility-report?fid=MID980795512,2026/04/22 01:20:07.110+00
-84.58334,44.4659300000001,399292,MID980825632,MI NAT RES STORAGE FACILTY ROSCOMMON,MI DEPT/NATURAL RESOURCES,1515 E ROBINSON LAKE RD,ROSCOMMON,ROSCOMMON,44.46593,-84.58334,WGS-84,Lat/Long Interpolation,SD,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,-1,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399292,http://echo.epa.gov/detailed-facility-report?fid=MID980825632,2026/04/22 01:20:07.110+00
-83.8829899999999,42.29483,399343,MID980905335,MI DEPT/TRANSPORTATION ANN ARBOR,MI DEPT/TRANSPORTATION,7650 JACKSON RD,ANN ARBOR,WASHTENAW,42.29483,-83.88299,WGS-84,Submitted by Handler,SD,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399343,http://echo.epa.gov/detailed-facility-report?fid=MID980905335,2026/04/22 01:20:07.110+00
-83.04756,42.3670700000001,399367,MID980991566,EQ DETROIT INC (DETROIT SOUTH),EQ DETROIT INC,1923 FREDERICK ST,DETROIT,WAYNE,42.36707,-83.04756,WGS-84,Lat/Long Interpolation,TS,is a commercial operation that <strong>accepts</strong> hazardous waste,is a commercial operation that accepts hazardous waste,-1,-1,-1,-1,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399367,http://echo.epa.gov/detailed-facility-report?fid=MID980991566,2026/04/22 01:20:07.110+00
-83.89334,43.44991,399386,MID980992325,MDOT SAGINAW EASTSIDE MAINTENANCE GARAGE,MI DEPT/TRANSPORTATION-E MAINT GARAGE,3510 E WASHINGTON RD,SAGINAW,SAGINAW,43.44991,-83.89334,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399386,http://echo.epa.gov/detailed-facility-report?fid=MID980992325,2026/04/22 01:20:07.110+00
-85.67976,42.9983800000001,399412,MID980995534,MICHIGAN ENVIRONMENTAL RECOVERY INC,MICHIGAN ENVIRONMENTAL RECOVERY INC,1923 STERLING AVE NW,GRAND RAPIDS,KENT,42.99838,-85.67976,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399412,http://echo.epa.gov/detailed-facility-report?fid=MID980995534,2026/04/22 01:20:07.110+00
-84.45388,42.5911300000001,399458,MID981000359,SAFETY KLEEN SYSTEMS INC,SAFETY KLEEN SYSTEMS INC,700 ZIMMERMAN BLVD,MASON,INGHAM,42.59113,-84.45388,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399458,http://echo.epa.gov/detailed-facility-report?fid=MID981000359,2026/04/22 01:20:07.110+00
-83.88604,43.4638,399462,MID981000607,SAFETY KLEEN SYSTEMS INC SAGINAW,SAFETY KLEEN SYSTEMS INC,3899 WOLF RD,SAGINAW,SAGINAW,43.4638,-83.88604,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399462,http://echo.epa.gov/detailed-facility-report?fid=MID981000607,2026/04/22 01:20:07.110+00
-85.75683,43.0138200000001,399463,MID981000615,SAFETY KLEEN SYSTEMS INC GRAND RAPIDS ,SAFETY KLEEN SYSTEMS INC,2700 MULLINS CT NW,GRAND RAPIDS,KENT,43.01382,-85.75683,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399463,http://echo.epa.gov/detailed-facility-report?fid=MID981000615,2026/04/22 01:20:07.110+00
-82.8826,42.6204300000001,399529,MID981091838,SAFETY KLEEN SYS INC,SAFETY KLEEN SYSTEMS INC,44043 N GROESBECK HWY,CLINTON TOWNSHIP,MACOMB,42.62043,-82.8826,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399529,http://echo.epa.gov/detailed-facility-report?fid=MID981091838,2026/04/22 01:20:07.110+00
-83.4024699999999,45.0726900000001,399731,MID981200835,SYSTECH ENVIRONMENTAL CORP,SYSTECH ENVIRONMENTAL CORP,1480 FORD AVE,ALPENA,ALPENA,45.07269,-83.40247,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399731,http://echo.epa.gov/detailed-facility-report?fid=MID981200835,2026/04/22 01:20:07.110+00
-86.42601,43.9440500000001,400990,MID982222242,HADLEY INDUSTRIES DIV OF ASI,HADLEY INDUSTRIES,1100 CONRAD INDUSTRIAL DR,LUDINGTON,MASON,43.94405,-86.42601,WGS-84,Lat/Long Interpolation,TS,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=400990,http://echo.epa.gov/detailed-facility-report?fid=MID982222242,2026/04/22 01:20:07.110+00
-83.3343599999999,42.26014,401949,MID985568021,CHEMICAL ANALYTICS INC ROMULUS,STERICYCLE SPECIALTY WASTE SOLUTIONS INC,29959 BEVERLY RD,ROMULUS,WAYNE,42.26014,-83.33436,WGS-84,Lat/Long Interpolation,TS,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,0,-1,0,0,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=401949,http://echo.epa.gov/detailed-facility-report?fid=MID985568021,2026/04/22 01:20:07.110+00
-86.59896,46.37636,409288,MID990687964,LAKE STATES WOOD PRESERVING,LAKE STATES WOOD PRESERVING,HWY M 28 E,MUNISING,ALGER,46.37636,-86.59896,WGS-84,Lat/Long Interpolation,SD,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=409288,http://echo.epa.gov/detailed-facility-report?fid=MID990687964,2026/04/22 01:20:07.110+00
-83.83887,42.3241600000001,409292,MID990760100,CHRYSLER INTROL DIVISION,OLD CARCO LLC,2880 ZEEB RD,DEXTER,WASHTENAW,42.32416,-83.83887,WGS-84,Lat/Long Interpolation,SD,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,-1,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=409292,http://echo.epa.gov/detailed-facility-report?fid=MID990760100,2026/04/22 01:20:07.110+00
-85.74743,42.9172800000001,409297,MID990858003,ORGANIC CHEMICALS INC,ORGANIC CHEMICALS INC,3291 CHICAGO DR SW,GRANDVILLE,KENT,42.91728,-85.74743,WGS-84,Lat/Long Interpolation,TS,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=409297,http://echo.epa.gov/detailed-facility-report?fid=MID990858003,2026/04/22 01:20:07.110+00
-83.49947,42.2425700000001,409472,MIR000001834,U OF M BECK ROAD FACILITY,UNIVERSITY OF MICHIGAN,8501 BECK RD,BELLEVILLE,WAYNE,42.24257,-83.49947,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,-1,-1,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=409472,http://echo.epa.gov/detailed-facility-report?fid=MIR000001834,2026/04/22 01:20:07.110+00
-86.13139,42.79612,410693,MIR000014779,FLINT GROUP PIGMENTS,FLINT GROUP PIGMENTS,471 HOWARD AVE,HOLLAND,OTTAWA,42.79612,-86.13139,WGS-84,Lat/Long Interpolation,TSD,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=410693,http://echo.epa.gov/detailed-facility-report?fid=MIR000014779,2026/04/22 01:20:07.110+00
-83.31661,42.24427,410821,MIR000016055,REPUBLIC INDUSTRIAL AND ENERGY SOLUTIONS,REPUBLIC INDUSTRIAL & ENERGY SOLUTIONS LLC,28470 CITRIN DR,ROMULUS,WAYNE,42.24427,-83.31661,WGS-84,Lat/Long Interpolation,TS,is a commercial operation that <strong>accepts</strong> hazardous waste,is a commercial operation that accepts hazardous waste,-1,-1,-1,-1,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=410821,http://echo.epa.gov/detailed-facility-report?fid=MIR000016055,2026/04/22 01:20:07.110+00
-83.68502,43.09128,411250,MIR000020743,FORMER PEREGRINE COLDWATER ROAD SITE,REVITALIZING AUTO COMMUNITIES ENVIRONMENTAL RESPONSE TRUST,1245 E COLDWATER RD,FLINT,GENESEE,43.09128,-83.68502,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=411250,http://echo.epa.gov/detailed-facility-report?fid=MIR000020743,2026/04/22 01:20:07.110+00
-83.0348299999999,42.38554,412043,MIR000028860,STRONG STEEL PRODUCTS LLC,STRONG STEEL PRODUCTS LLC,6464 STRONG ST,DETROIT,WAYNE,42.38554,-83.03483,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=412043,http://echo.epa.gov/detailed-facility-report?fid=MIR000028860,2026/04/22 01:20:07.110+00
-86.2343099999999,41.8415000000001,414416,MIT270010549,DW-NATIONAL STANDARD NILES LLC,DW-NATIONAL STANDARD NILES LLC,1631 LAKE ST,NILES,BERRIEN,41.8415,-86.23431,WGS-84,Lat/Long Interpolation,D,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=414416,http://echo.epa.gov/detailed-facility-report?fid=MIT270010549,2026/04/22 01:20:07.110+00
-83.16498,42.17839,497352,MIK420024889,RIVERVIEW TRENTON RAILROAD COMPANY,RIVERVIEW TRENTON RAILROAD COMPANY,18251 W JEFFERSON,RIVERVIEW,WAYNE,42.17839,-83.16498,WGS-84,Lat/Long Interpolation,D,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,-1,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=497352,http://echo.epa.gov/detailed-facility-report?fid=MIK420024889,2026/04/22 01:20:07.110+00
